,Label,Row,Intervals
141,12-141,"[0, 1, 5, 2, 9, 11, 10, 4, 7, 3, 8, 6]",[ 1  4  9  7  2 11  6  3  8  5 10  6]
142,12-142L,"[0, 1, 5, 2, 9, 7, 3, 8, 11, 10, 4, 6]",[ 1  4  9  7 10  8  5  3 11  6  2  6]
143,12-143,"[0, 1, 5, 2, 10, 8, 3, 9, 11, 4, 7, 6]",[ 1  4  9  8 10  7  6  2  5  3 11  6]
144,12-144,"[0, 1, 5, 3, 8, 11, 7, 2, 4, 10, 9, 6]",[ 1  4 10  5  3  8  7  2  6 11  9  6]
145,12-145,"[0, 1, 5, 3, 8, 2, 4, 11, 7, 10, 9, 6]",[ 1  4 10  5  6  2  7  8  3 11  9  6]
146,12-146,"[0, 1, 5, 3, 8, 2, 11, 7, 10, 9, 4, 6]",[ 1  4 10  5  6  9  8  3 11  7  2  6]
147,12-147,"[0, 1, 5, 3, 9, 2, 4, 11, 8, 7, 10, 6]",[ 1  4 10  6  5  2  7  9 11  3  8  6]
148,12-148,"[0, 1, 5, 3, 10, 9, 2, 8, 11, 7, 4, 6]",[ 1  4 10  7 11  5  6  3  8  9  2  6]
149,12-149,"[0, 1, 5, 3, 11, 4, 7, 2, 8, 10, 9, 6]",[ 1  4 10  8  5  3  7  6  2 11  9  6]
150,12-150,"[0, 1, 5, 3, 11, 8, 2, 7, 10, 9, 4, 6]",[ 1  4 10  8  9  6  5  3 11  7  2  6]
151,12-151,"[0, 1, 5, 4, 7, 2, 8, 10, 3, 11, 9, 6]",[ 1  4 11  3  7  6  2  5  8 10  9  6]
152,12-152,"[0, 1, 5, 4, 7, 2, 10, 3, 9, 11, 8, 6]",[ 1  4 11  3  7  8  5  6  2  9 10  6]
153,12-153L,"[0, 1, 5, 4, 7, 2, 11, 9, 3, 8, 10, 6]",[ 1  4 11  3  7  9 10  6  5  2  8  6]
154,12-154L,"[0, 1, 5, 4, 10, 8, 3, 11, 2, 7, 9, 6]",[ 1  4 11  6 10  7  8  3  5  2  9  6]
155,12-155,"[0, 1, 5, 4, 11, 2, 10, 7, 9, 3, 8, 6]",[ 1  4 11  7  3  8  9  2  6  5 10  6]
156,12-156,"[0, 1, 5, 4, 11, 9, 2, 8, 10, 7, 3, 6]",[ 1  4 11  7 10  5  6  2  9  8  3  6]
157,12-157,"[0, 1, 5, 4, 2, 10, 7, 9, 3, 8, 11, 6]",[ 1  4 11 10  8  9  2  6  5  3  7  6]
158,12-158,"[0, 1, 7, 9, 2, 10, 8, 5, 4, 11, 3, 6]",[ 1  6  2  5  8 10  9 11  7  4  3  6]
159,12-159,"[0, 1, 7, 10, 2, 4, 9, 8, 5, 3, 11, 6]",[ 1  6  3  4  2  5 11  9 10  8  7  6]
160,12-160,"[0, 1, 7, 10, 2, 9, 8, 5, 3, 11, 4, 6]",[ 1  6  3  4  7 11  9 10  8  5  2  6]
161,12-161,"[0, 1, 7, 10, 3, 5, 9, 8, 4, 2, 11, 6]",[ 1  6  3  5  2  4 11  8 10  9  7  6]
162,12-162,"[0, 1, 7, 10, 5, 9, 2, 4, 3, 11, 8, 6]",[ 1  6  3  7  4  5  2 11  8  9 10  6]
163,12-163,"[0, 1, 7, 10, 8, 4, 3, 5, 9, 2, 11, 6]",[ 1  6  3 10  8 11  2  4  5  9  7  6]
164,12-164,"[0, 1, 7, 10, 8, 5, 9, 2, 4, 3, 11, 6]",[ 1  6  3 10  9  4  5  2 11  8  7  6]
165,12-165,"[0, 1, 7, 10, 9, 2, 4, 8, 5, 3, 11, 6]",[ 1  6  3 11  5  2  4  9 10  8  7  6]
166,12-166,"[0, 1, 7, 10, 9, 5, 2, 4, 11, 3, 8, 6]",[ 1  6  3 11  8  9  2  7  4  5 10  6]
167,12-167,"[0, 1, 7, 11, 2, 4, 9, 8, 5, 3, 10, 6]",[ 1  6  4  3  2  5 11  9 10  7  8  6]
168,12-168,"[0, 1, 7, 11, 2, 10, 8, 3, 5, 4, 9, 6]",[ 1  6  4  3  8 10  7  2 11  5  9  6]
169,12-169,"[0, 1, 7, 11, 10, 3, 5, 8, 4, 2, 9, 6]",[ 1  6  4 11  5  2  3  8 10  7  9  6]
170,12-170,"[0, 1, 7, 2, 5, 3, 11, 4, 8, 10, 9, 6]",[ 1  6  7  3 10  8  5  4  2 11  9  6]
171,12-171,"[0, 1, 7, 2, 5, 4, 8, 10, 3, 11, 9, 6]",[ 1  6  7  3 11  4  2  5  8 10  9  6]
172,12-172,"[0, 1, 7, 2, 10, 3, 5, 4, 8, 11, 9, 6]",[ 1  6  7  8  5  2 11  4  3 10  9  6]
173,12-173,"[0, 1, 7, 2, 10, 8, 11, 3, 5, 4, 9, 6]",[ 1  6  7  8 10  3  4  2 11  5  9  6]
174,12-174,"[0, 1, 7, 2, 10, 8, 11, 4, 3, 5, 9, 6]",[ 1  6  7  8 10  3  5 11  2  4  9  6]
175,12-175,"[0, 1, 7, 2, 10, 8, 5, 9, 11, 4, 3, 6]",[ 1  6  7  8 10  9  4  2  5 11  3  6]
176,12-176,"[0, 1, 7, 2, 10, 8, 5, 4, 9, 11, 3, 6]",[ 1  6  7  8 10  9 11  5  2  4  3  6]
177,12-177,"[0, 1, 7, 2, 10, 9, 11, 4, 8, 5, 3, 6]",[ 1  6  7  8 11  2  5  4  9 10  3  6]
178,12-178,"[0, 1, 7, 2, 11, 4, 8, 10, 9, 5, 3, 6]",[ 1  6  7  9  5  4  2 11  8 10  3  6]
179,12-179,"[0, 1, 7, 2, 11, 9, 5, 4, 8, 10, 3, 6]",[ 1  6  7  9 10  8 11  4  2  5  3  6]
180,12-180,"[0, 1, 7, 3, 8, 10, 2, 5, 4, 11, 9, 6]",[ 1  6  8  5  2  4  3 11  7 10  9  6]
181,12-181,"[0, 1, 7, 3, 10, 2, 5, 4, 9, 11, 8, 6]",[ 1  6  8  7  4  3 11  5  2  9 10  6]
182,12-182,"[0, 1, 7, 3, 10, 8, 5, 4, 9, 11, 2, 6]",[ 1  6  8  7 10  9 11  5  2  3  4  6]
183,12-183,"[0, 1, 7, 4, 8, 10, 9, 2, 5, 3, 11, 6]",[ 1  6  9  4  2 11  5  3 10  8  7  6]
184,12-184,"[0, 1, 7, 4, 9, 11, 3, 2, 10, 5, 8, 6]",[ 1  6  9  5  2  4 11  8  7  3 10  6]
185,12-185,"[0, 1, 7, 4, 9, 8, 10, 2, 5, 3, 11, 6]",[ 1  6  9  5 11  2  4  3 10  8  7  6]
186,12-186,"[0, 1, 7, 4, 9, 8, 10, 5, 3, 11, 2, 6]",[ 1  6  9  5 11  2  7 10  8  3  4  6]
187,12-187,"[0, 1, 7, 4, 11, 2, 10, 3, 5, 9, 8, 6]",[ 1  6  9  7  3  8  5  2  4 11 10  6]
188,12-188,"[0, 1, 7, 4, 11, 9, 5, 8, 10, 3, 2, 6]",[ 1  6  9  7 10  8  3  2  5 11  4  6]
189,12-189,"[0, 1, 7, 4, 2, 5, 9, 8, 10, 3, 11, 6]",[ 1  6  9 10  3  4 11  2  5  8  7  6]
190,12-190,"[0, 1, 7, 4, 2, 9, 8, 11, 3, 5, 10, 6]",[ 1  6  9 10  7 11  3  4  2  5  8  6]
191,12-191,"[0, 1, 7, 4, 2, 10, 3, 5, 9, 8, 11, 6]",[ 1  6  9 10  8  5  2  4 11  3  7  6]
192,12-192,"[0, 1, 7, 4, 3, 5, 9, 2, 10, 8, 11, 6]",[ 1  6  9 11  2  4  5  8 10  3  7  6]
